peak_ID,zv9_target,Z9_chr,Z9_start,Z9_end,G10_chr,G10_start,G10_end,G10_short_chr,G10_short_start,G10_short_end,GFP_score,noGFP_score,labels
GFP_NFR_fo_1023,slbp,chr14,18726608,18726786,chr14,14521061,14521239,chr14,14521082,14521206,5.71,3.93,PSAE
GFP_NFR_fo_1024,ergic1,chr14,19690218,19690547,chr14,15484671,15485000,chr14,15484725,15484849,7.2,6.03,PSAE
GFP_NFR_fo_1025,ergic1,chr14,19714635,19714764,chr14,15509088,15509217,chr14,15509122,15509246,5.33,2.8,PSAE
GFP_NFR_fo_1026,ids,chr14,21848734,21848876,chr14,20550222,20550364,chr14,20550247,20550371,5.87,4.76,PSAE
GFP_NFR_fo_1027,aldob,chr14,22068694,22069011,chr14,20770182,20770499,chr14,20770317,20770441,7.09,3.52,PSAE
GFP_NFR_fo_1028,zgc:136929,chr14,22188683,22188988,chr14,20890171,20890476,chr14,20890277,20890401,7.41,4.35,PSAE
GFP_NFR_fo_1029,egr1,chr14,22303195,22303374,chr14,21004683,21004862,chr14,21004697,21004821,6.15,4.45,PSAE
GFP_NFR_fo_103,cd99,chr1,33044680,33044836,chr1,32646860,32647016,chr1,32646912,32647036,6.91,5.9,PSAE
GFP_NFR_fo_1030,spon2a,chr14,22843992,22844171,chr14,21543480,21543659,chr14,21543540,21543664,5.4,4.26,PSAE
GFP_NFR_fo_1031,zgc:113229,chr14,22937409,22937588,chr14,21636897,21637076,chr14,21636923,21637047,6.12,3.57,PSAE
GFP_NFR_fo_1032,slc43a1a,chr14,23087360,23087635,chr14,21786853,21787128,chr14,21786941,21787065,6.52,4.44,PSAE
GFP_NFR_fo_1033,med19a,chr14,23103109,23103565,chr14,21802599,21803055,chr14,21802648,21802772,6.85,5.43,PSAE
GFP_NFR_fo_1034,atp7a,chr14,23299897,23300121,chr14,21999687,21999911,chr14,21999759,21999883,6.67,3.85,PSAE
GFP_NFR_fo_1035,atp7a,chr14,23300207,23300306,chr14,21999997,22000096,chr14,21999940,22000064,5.92,3.23,PSAE
GFP_NFR_fo_1036,atp7a,chr14,23321299,23321513,chr14,22021089,22021303,chr14,22021095,22021219,7.17,4.48,PSAE
GFP_NFR_fo_1037,smyd5,chr14,23564304,23564412,chr14,22264094,22264202,chr14,22264065,22264189,5.63,4.39,PSAE
GFP_NFR_fo_1038,nr3c1,chr14,24681811,24681994,chr14,23480335,23480518,chr14,23480394,23480518,5.6,4.39,PSAE
GFP_NFR_fo_1039,nr3c1,chr14,24700290,24700516,chr14,23498814,23499040,chr14,23498839,23498963,6.89,5.1,PSAE
GFP_NFR_fo_104,dhrsx,chr1,33066904,33067302,chr1,32669084,32669482,chr1,32669182,32669306,7.76,6.74,PSAE
GFP_NFR_fo_1040,cxcl14,chr14,25414101,25414267,chr14,24117192,24117358,chr14,24117221,24117345,6.22,4.94,PSAE
GFP_NFR_fo_1041,cxcl14,chr14,25467879,25467998,chr14,24170970,24171089,chr14,24170954,24171078,5.44,4.16,PSAE
GFP_NFR_fo_1042,slc36a1,chr14,27043644,27043815,chr14,25736846,25737017,chr14,25736875,25736999,5.75,4.52,PSAE
GFP_NFR_fo_1043,gm2a,chr14,27176739,27176858,chr14,25869941,25870060,chr14,25869927,25870051,5.88,4.57,PSAE
GFP_NFR_fo_1044,gm2a,chr14,27187076,27187226,chr14,25880278,25880428,chr14,25880300,25880424,6.36,5.21,PSAE
GFP_NFR_fo_1045,gm2a,chr14,27238544,27238655,chr14,25931656,25931767,chr14,25931659,25931783,6.21,4.8,PSAE
GFP_NFR_fo_1046,si:dkeyp-110e4.6,chr14,27442985,27443143,chr14,26135782,26135940,chr14,26135788,26135912,5.78,3.03,PSAE
GFP_NFR_fo_1047,eef1g,chr14,27740216,27740329,chr14,26433013,26433126,chr14,26433019,26433143,6.61,5.6,PSAE
GFP_NFR_fo_1048,eef1g,chr14,27740589,27740805,chr14,26433386,26433602,chr14,26433398,26433522,7.4,6.12,PSAE
GFP_NFR_fo_1049,ahnak,chr14,27763052,27763322,chr14,26455849,26456119,chr14,26455927,26456051,7.33,5.9,PSAE
GFP_NFR_fo_105,chmp2bb,chr1,33191768,33192033,chr1,32826519,32826784,chr1,32826572,32826696,7.59,6.59,PSAE
GFP_NFR_fo_1050,ahnak,chr14,27775478,27775636,chr14,26468275,26468433,chr14,26468304,26468428,5.89,4.36,PSAE
GFP_NFR_fo_1051,atl3,chr14,31643985,31644104,chr14,30434042,30434161,chr14,30434084,30434208,6.88,5.99,PSAE
GFP_NFR_fo_1052,gpc4,chr14,31999084,31999202,chr14,30788891,30789009,chr14,30788918,30789042,5.84,4.78,PSAE
GFP_NFR_fo_1053,gpc4,chr14,31999281,31999408,chr14,30789088,30789215,chr14,30789115,30789239,6.1,4.95,PSAE
GFP_NFR_fo_1054,ddx26b,chr14,32443528,32443749,chr14,31233335,31233556,chr14,31233390,31233514,6,5,PSAE
GFP_NFR_fo_1055,map7d3,chr14,32621054,32621227,chr14,31410861,31411034,chr14,31410871,31410995,6.07,3.01,PSAE
GFP_NFR_fo_1056,rbmx,chr14,32732839,32732986,chr14,31522646,31522793,chr14,31522606,31522730,6.67,5.54,PSAE
GFP_NFR_fo_1057,rbmx,chr14,32736317,32736515,chr14,31526124,31526322,chr14,31526175,31526299,6.78,3.5,PSAE
GFP_NFR_fo_1058,atp11c,chr14,33454093,33454354,chr14,32243900,32244161,chr14,32243948,32244072,7.46,6.44,PSAE
GFP_NFR_fo_1059,pr2y4l,chr14,33654773,33654938,chr14,32449203,32449368,chr14,32449189,32449313,6.82,5.65,PSAE
GFP_NFR_fo_1060,lnx2b,chr14,33773482,33773629,chr14,32578095,32578242,chr14,32578136,32578260,6.48,5.35,PSAE
GFP_NFR_fo_1061,lnx2b,chr14,33774023,33774193,chr14,32578636,32578806,chr14,32578641,32578765,6.05,4.74,PSAE
GFP_NFR_fo_1062,lnx2b,chr14,33774254,33774450,chr14,32578867,32579063,chr14,32578909,32579033,5.54,3.74,PSAE
GFP_NFR_fo_1063,kdrl,chr14,33941412,33941590,chr14,32746778,32746956,chr14,32746797,32746921,5.74,3.41,PSAE
GFP_NFR_fo_1063,kdrl,chr14,33941412,33941590,chr14,32746778,32746956,chr14,32746847,32746971,6.64,4.62,PSAE
GFP_NFR_fo_1063,kdrl,chr14,33941412,33941590,chr14,32746778,32746956,chr14,32746797,32746921,5.74,3.41,PSAE
GFP_NFR_fo_1063,kdrl,chr14,33941412,33941590,chr14,32746778,32746956,chr14,32746847,32746971,6.64,4.62,PSAE
GFP_NFR_fo_1064,dlg3,chr14,34163832,34163920,chr14,32848532,32848620,chr14,32848487,32848611,5.08,3.71,PSAE
GFP_NFR_fo_1065,stard10,chr14,34252513,34253138,chr14,32937213,32937838,chr14,32937427,32937551,7.44,5.45,PSAE
GFP_NFR_fo_1066,c1galt1c1,chr14,34491543,34491744,chr14,33176243,33176444,chr14,33176280,33176404,5.9,4.81,PSAE
GFP_NFR_fo_1067,c1galt1c1,chr14,34492130,34492249,chr14,33176830,33176949,chr14,33176830,33176954,5.61,2.95,PSAE
GFP_NFR_fo_1068,c1galt1c1,chr14,34492897,34493055,chr14,33177597,33177755,chr14,33177629,33177753,5.16,3.04,PSAE
GFP_NFR_fo_1069,zdhhc9,chr14,34514254,34514566,chr14,33198954,33199266,chr14,33199032,33199156,7.05,2.78,PSAE
GFP_NFR_fo_107,klf5a,chr1,34207878,34208092,chr1,33842629,33842843,chr1,33842694,33842818,6.21,3.74,PSAE
GFP_NFR_fo_1071,adrb2a,chr14,35984026,35984236,chr14,34488642,34488852,chr14,34488661,34488785,6.11,4.22,PSAE
GFP_NFR_fo_1072,il12ba,chr14,36059190,36059381,chr14,34563684,34563875,chr14,34563708,34563832,6.49,5.18,PSAE
GFP_NFR_fo_1073,clint1a,chr14,36530159,36530293,chr14,35032491,35032625,chr14,35032509,35032633,5.62,3.65,PSAE
GFP_NFR_fo_1074,zgc:77938,chr14,37167228,37167436,chr14,35606555,35606763,chr14,35606600,35606724,6.73,5.61,PSAE
GFP_NFR_fo_1075,elovl6,chr14,37493093,37493290,chr14,35932420,35932617,chr14,35932473,35932597,6.5,4.92,PSAE
GFP_NFR_fo_1076,lect2l,chr14,38420261,38420328,chr14,39300786,39300853,chr14,39300757,39300881,4.42,2.24,PSAE
GFP_NFR_fo_1077,pcdh1b,chr14,38821518,38822009,chr14,37206671,37207162,chr14,37206869,37206993,7.98,6.79,PSAE
GFP_NFR_fo_1078,pcdh1b,chr14,38843025,38843441,chr14,37228178,37228594,chr14,37228276,37228400,7.28,6.28,PSAE
GFP_NFR_fo_1079,pcdh1b,chr14,38852576,38852788,chr14,37237729,37237941,chr14,37237778,37237902,6.46,5.5,PSAE
GFP_NFR_fo_108,klf5a,chr1,34243942,34244179,chr1,33878693,33878930,chr1,33878758,33878882,6.82,5.96,PSAE
GFP_NFR_fo_1080,pcdh1b,chr14,39029279,39029505,chr14,37414432,37414658,chr14,37414513,37414637,5.72,3.01,PSAE
GFP_NFR_fo_1081,pcdh1b,chr14,39034818,39035136,chr14,37419971,37420289,chr14,37420103,37420227,7.2,6.08,PSAE
GFP_NFR_fo_1082,csnk1a1,chr14,40140255,40140400,chr14,38410579,38410724,chr14,38410589,38410713,5.61,3.46,PSAE
GFP_NFR_fo_1082,csnk1a1,chr14,40140255,40140400,chr14,38410579,38410724,chr14,38410608,38410732,5.37,3.61,PSAE
GFP_NFR_fo_1082,csnk1a1,chr14,40140255,40140400,chr14,38410579,38410724,chr14,38410589,38410713,5.61,3.46,PSAE
GFP_NFR_fo_1082,csnk1a1,chr14,40140255,40140400,chr14,38410579,38410724,chr14,38410608,38410732,5.37,3.61,PSAE
GFP_NFR_fo_1086,csnk1a1,chr14,40176742,40177054,chr14,38445740,38446051,chr14,38445843,38445967,6.87,4.67,PSAE
GFP_NFR_fo_1086,csnk1a1,chr14,40176742,40177054,chr14,38445740,38446051,chr14,38445920,38446044,6.67,4.88,PSAE
GFP_NFR_fo_1086,csnk1a1,chr14,40176742,40177054,chr14,38445740,38446051,chr14,38445843,38445967,6.87,4.67,PSAE
GFP_NFR_fo_1086,csnk1a1,chr14,40176742,40177054,chr14,38445740,38446051,chr14,38445920,38446044,6.67,4.88,PSAE
GFP_NFR_fo_109,klf5a,chr1,34245073,34245509,chr1,33879824,33880260,chr1,33879985,33880109,7.06,6.01,PSAE
GFP_NFR_fo_1090,csnk1a1,chr14,40247381,40247492,chr14,38410615,38410726,chr14,38410608,38410732,5.37,3.61,PSAE
GFP_NFR_fo_1090,csnk1a1,chr14,40247381,40247492,chr14,38410615,38410726,chr14,38410589,38410713,5.61,3.46,PSAE
GFP_NFR_fo_1090,csnk1a1,chr14,40247381,40247492,chr14,38410615,38410726,chr14,38410608,38410732,5.37,3.61,PSAE
GFP_NFR_fo_1090,csnk1a1,chr14,40247381,40247492,chr14,38410615,38410726,chr14,38410589,38410713,5.61,3.46,PSAE
GFP_NFR_fo_1091,gla,chr14,40442941,40443326,chr14,38606175,38606560,chr14,38606348,38606472,7.16,6.1,PSAE
GFP_NFR_fo_1092,glra4a,chr14,40557672,40557780,chr14,38720906,38721014,chr14,38720845,38720969,5.84,4.38,PSAE
GFP_NFR_fo_1093,glra4a,chr14,40558181,40558301,chr14,38721415,38721535,chr14,38721436,38721560,5.41,3.89,PSAE
GFP_NFR_fo_1094,ef1,chr14,42122107,42122299,chr14,40433432,40433624,chr14,40433482,40433606,6.72,5.83,PSAE
GFP_NFR_fo_1095,ef1,chr14,42140149,42140765,chr14,40451474,40452090,chr14,40451623,40451747,8.28,7.67,PSAE
GFP_NFR_fo_1096,ef1,chr14,42141679,42141792,chr14,40453004,40453117,chr14,40452983,40453107,6.05,4.57,PSAE
GFP_NFR_fo_1097,ef1,chr14,42142814,42143293,chr14,40454139,40454618,chr14,40454350,40454474,9.45,8.55,PSAE
GFP_NFR_fo_1098,ef1,chr14,42143368,42143676,chr14,40454693,40455001,chr14,40454750,40454874,7.22,5.71,PSAE
GFP_NFR_fo_1099,taf7,chr14,42168190,42168551,chr14,40479515,40479876,chr14,40479602,40479726,7.79,6.35,PSAE
GFP_NFR_fo_11,eed,chr1,593847,594827,chr1,21152,22132,chr1,21358,21482,7.67,6.41,PSAE
GFP_NFR_fo_110,klf5a,chr1,34248784,34248881,chr1,33883535,33883632,chr1,33883526,33883650,5.04,1.75,PSAE
GFP_NFR_fo_1100,xkrx,chr14,42793926,42794142,chr14,40951031,40951247,chr14,40951089,40951213,8.3,7.65,PSAE
GFP_NFR_fo_1101,nox1,chr14,42878519,42878711,chr14,40977772,40977964,chr14,40977770,40977894,6.56,4.53,PSAE
GFP_NFR_fo_1101,nox1,chr14,42878519,42878711,chr14,40977772,40977964,chr14,40977816,40977940,5.53,4.37,PSAE
GFP_NFR_fo_1101,nox1,chr14,42878519,42878711,chr14,40977772,40977964,chr14,40977770,40977894,6.56,4.53,PSAE
GFP_NFR_fo_1101,nox1,chr14,42878519,42878711,chr14,40977772,40977964,chr14,40977816,40977940,5.53,4.37,PSAE
GFP_NFR_fo_1102,mid1ip1l,chr14,42985602,42985807,chr14,41084855,41085060,chr14,41084970,41085094,6.69,5.82,PSAE
GFP_NFR_fo_1106,pcdh10b,chr14,45145185,45145427,chr14,42539819,42540061,chr14,42539847,42539971,6.55,5.52,PSAE
GFP_NFR_fo_1107,pcdh10b,chr14,45285580,45285734,chr14,42788451,42788605,chr14,42788453,42788577,6.91,5.94,PSAE
GFP_NFR_fo_1108,gar1,chr14,46263546,46263759,chr14,43602248,43602461,chr14,43602318,43602442,6.17,3.53,PSAE
GFP_NFR_fo_1109,pdlim7,chr14,47632426,47632814,chrUn_KN150524v1,841,1229,chrUn_KN150524v1,927,1051,6.36,4.41,PSAE
GFP_NFR_fo_111,klf5a,chr1,34260996,34261312,chr1,33895747,33896063,chr1,33895863,33895987,6.48,3.56,PSAE
GFP_NFR_fo_1110,higd2a,chr14,47677424,47677640,chr14,45883829,45884045,chr14,45883841,45883965,6.84,5.05,PSAE
GFP_NFR_fo_1111,higd2a,chr14,47697696,47698019,chr14,45863450,45863773,chr14,45863498,45863622,7.21,6.22,PSAE
GFP_NFR_fo_1112,faf2,chr14,47698756,47698925,chr14,45862544,45862713,chr14,45862598,45862722,7.32,6.58,PSAE
GFP_NFR_fo_1114,zgc:113425,chr14,49130051,49130237,chr14,47207710,47207896,chr14,47207765,47207889,6.04,4.45,PSAE
GFP_NFR_fo_1115,setd7,chr14,49149669,49150026,chr14,47227328,47227685,chr14,47227422,47227546,7.52,6.31,PSAE
GFP_NFR_fo_1116,mgst2,chr14,49151410,49151499,chr14,47229069,47229158,chr14,47229086,47229210,6.84,5.74,PSAE
GFP_NFR_fo_1117,mgst2,chr14,49151562,49151965,chr14,47229221,47229624,chr14,47229325,47229449,6.99,5.85,PSAE
GFP_NFR_fo_1118,ppid,chr14,51169468,51169761,chr14,49922182,49922475,chr14,49922232,49922356,6.94,4.3,PSAE
GFP_NFR_fo_1119,ppid,chr14,51169966,51170244,chr14,49922680,49922958,chr14,49922689,49922813,7.04,5.35,PSAE
GFP_NFR_fo_112,klf5a,chr1,34263500,34263638,chr1,33898251,33898389,chr1,33898287,33898411,5.83,3.53,PSAE
GFP_NFR_fo_1120,ppid,chr14,51174999,51175250,chr14,49927713,49927964,chr14,49927784,49927908,6.76,4.45,PSAE
GFP_NFR_fo_1121,ppid,chr14,51175381,51175508,chr14,49928095,49928222,chr14,49928105,49928229,6.15,4.88,PSAE
GFP_NFR_fo_1122,tnip1,chr14,51645784,51646227,chr14,50398552,50398995,chr14,50398698,50398822,7.48,4.45,PSAE
GFP_NFR_fo_1123,zgc:154054,chr14,52534080,52534529,chr14,49874999,49875448,chr14,49875053,49875177,7.69,6.38,PSAE
GFP_NFR_fo_1124,ube2d2l,chr14,52915492,52915669,chr14,49494398,49494575,chr14,49494423,49494547,6.15,4.41,PSAE
GFP_NFR_fo_1125,exosc3,chr14,53506907,53507376,chr14,51756378,51756847,chr14,51756493,51756617,6.26,5.26,PSAE
GFP_NFR_fo_1126,zgc:154116,chr14,53521422,53521968,chr14,51741786,51742332,chr14,51741887,51742011,7.49,4.19,PSAE
GFP_NFR_fo_1127,zgc:154116,chr14,53522057,53522173,chr14,51741581,51741697,chr14,51741577,51741701,6.04,3.94,PSAE
GFP_NFR_fo_1128,zgc:154116,chr14,53527542,53527987,chr14,51735767,51736212,chr14,51735947,51736071,8.53,7.34,PSAE
GFP_NFR_fo_1129,apoa1b,chr15,30394,30905,chr15,5976,6487,chr15,6151,6275,6.76,4.94,PSAE
GFP_NFR_fo_113,pibf1,chr1,34294046,34294375,chr1,33928797,33929126,chr1,33928866,33928990,6.74,4.07,PSAE
GFP_NFR_fo_1132,cyp2y3,chr15,79845,80207,chr15,113197,113557,chr15,113328,113452,6.93,6.03,PSAE
GFP_NFR_fo_1134,elna,chr15,135182,135357,chr15,175691,175866,chr15,175753,175877,5.7,3.44,PSAE
GFP_NFR_fo_1135,elna,chr15,136602,136730,chr15,177111,177239,chr15,177080,177204,6.18,4.08,PSAE
GFP_NFR_fo_1136,limk1a,chr15,301348,301819,chr15,248452,248923,chr15,248614,248738,7.14,4.8,PSAE
GFP_NFR_fo_1137,limk1a,chr15,301910,302427,chr15,247844,248361,chr15,247898,248022,6.37,5.34,PSAE
GFP_NFR_fo_1138,zgc:153258,chr15,507722,508525,chr15,548025,548828,chr15,548377,548501,7.04,4.63,PSAE
GFP_NFR_fo_1139,pcsk7,chr15,514874,515593,chr15,555177,555896,chr15,555367,555491,6.99,5.94,PSAE
GFP_NFR_fo_114,pibf1,chr1,34299611,34299922,chr1,33934362,33934673,chr1,33934456,33934580,6.62,4.36,PSAE
GFP_NFR_fo_1140,zgc:171901,chr15,710029,710161,chr15,750332,750464,chr15,750322,750446,6.22,3.27,PSAE
GFP_NFR_fo_1141,lxn,chr15,1182822,1183104,chr15,1225456,1225738,chr15,1225567,1225691,7,5.97,PSAE
GFP_NFR_fo_1142,hephl1,chr15,2410829,2411291,chr15,2457951,2458413,chr15,2458014,2458138,7.75,6.96,PSAE
GFP_NFR_fo_1143,cldnj,chr15,2616954,2617073,chr15,2662108,2662227,chr15,2662091,2662215,5.84,4.13,PSAE
GFP_NFR_fo_1144,cldnj,chr15,2625543,2625842,chr15,2670697,2670996,chr15,2670792,2670916,6.92,4.8,PSAE
GFP_NFR_fo_1145,cldne,chr15,2629128,2629365,chr15,2674282,2674519,chr15,2674396,2674520,6.34,3.41,PSAE
GFP_NFR_fo_1146,cldne,chr15,2631496,2631588,chr15,2676650,2676742,chr15,2676655,2676779,5.52,4.25,PSAE
GFP_NFR_fo_1147,cldne,chr15,2632015,2632400,chr15,2677169,2677554,chr15,2677327,2677451,7.15,3.98,PSAE
GFP_NFR_fo_1148,cldnf,chr15,2640034,2640313,chr15,2685188,2685467,chr15,2685233,2685357,6.8,3.67,PSAE
GFP_NFR_fo_1149,cldnf,chr15,2643665,2644127,chr15,2688819,2689281,chr15,2689051,2689175,7.16,4.69,PSAE
GFP_NFR_fo_115,pibf1,chr1,34300619,34300724,chr1,33935370,33935475,chr1,33935399,33935523,6.32,5.02,PSAE
GFP_NFR_fo_1151,slc25a15a,chr15,3501862,3502000,chr15,3688364,3688502,chr15,3688405,3688529,7.33,6.46,PSAE
GFP_NFR_fo_1154,lpar6a,chr15,3615961,3616122,chr15,4021195,4021356,chr15,4021245,4021369,5.49,3.28,PSAE
GFP_NFR_fo_1155,lpar6a,chr15,3622466,3622573,chr15,4027700,4027807,chr15,4027691,4027815,5.99,4.77,PSAE
GFP_NFR_fo_1156,lpar6a,chr15,3750763,3750979,chr15,4155997,4156213,chr15,4156011,4156135,7.55,6.19,PSAE
GFP_NFR_fo_1157,lpar6a,chr15,3754018,3754207,chr15,4159252,4159441,chr15,4159279,4159403,6.45,4.98,PSAE
GFP_NFR_fo_1158,rnf168,chr15,4003966,4004132,chr15,3939518,3939684,chr15,3939535,3939659,5.88,3.41,PSAE
GFP_NFR_fo_1159,atp1b3b,chr15,4216984,4217202,chr15,4360859,4361077,chr15,4360893,4361017,5.92,4.53,PSAE
GFP_NFR_fo_116,gab1,chr1,35250725,35250988,chr1,34810583,34810846,chr1,34810651,34810775,6.89,5.19,PSAE
GFP_NFR_fo_1160,atp1b3b,chr15,4312630,4312860,chr15,4456505,4456735,chr15,4456612,4456736,6.1,4.42,PSAE
GFP_NFR_fo_1161,zgc:77828,chr15,4404485,4404793,chr15,4554538,4554846,chr15,4554660,4554784,7.92,6.66,PSAE
GFP_NFR_fo_1162,zgc:77828,chr15,4407838,4407987,chr15,4557891,4558040,chr15,4557920,4558044,5.63,3.14,PSAE
GFP_NFR_fo_1163,zgc:77828,chr15,4418972,4419350,chr15,4569025,4569403,chr15,4569050,4569174,6.89,4.96,PSAE
GFP_NFR_fo_1166,ap2s1,chr15,8858647,8859108,chr15,8747260,8747721,chr15,8747526,8747650,7.74,6.46,PSAE
GFP_NFR_fo_1167,ap2s1,chr15,8873389,8873847,chr15,8762002,8762460,chr15,8762192,8762316,8.07,7.24,PSAE
GFP_NFR_fo_1168,rab4b,chr15,8975398,8975538,chr15,8864011,8864151,chr15,8864029,8864153,5.15,2.96,PSAE
GFP_NFR_fo_1169,zgc:110155,chr15,9546370,9546688,chr15,9781551,9781869,chr15,9781630,9781754,7.01,5.82,PSAE
GFP_NFR_fo_117,smad1,chr1,35626471,35626786,chr1,35186329,35186644,chr1,35186477,35186601,7.02,4.54,PSAE
GFP_NFR_fo_1170,prcp,chr15,10076552,10076679,chr15,11033451,11033578,chr15,11033473,11033597,5.06,3.1,PSAE
GFP_NFR_fo_1171,prcp,chr15,10134128,10134269,chr15,11091027,11091168,chr15,11091040,11091164,6.05,4.31,PSAE
GFP_NFR_fo_1172,prcp,chr15,10196162,10196312,chr15,11153061,11153211,chr15,11153032,11153156,7.03,6.23,PSAE
GFP_NFR_fo_1173,zgc:172282,chr15,11475010,11475201,chr15,13161438,13161629,chr15,13161476,13161600,6.1,3.67,PSAE
GFP_NFR_fo_1175,slc1a5,chr15,11936589,11936835,chr15,11766493,11766739,chr15,11766472,11766596,5.15,2.1,PSAE
GFP_NFR_fo_1175,slc1a5,chr15,11936589,11936835,chr15,11766493,11766739,chr15,11766454,11766578,5.97,4.18,PSAE
GFP_NFR_fo_1175,slc1a5,chr15,11936589,11936835,chr15,11766493,11766739,chr15,11766472,11766596,5.15,2.1,PSAE
GFP_NFR_fo_1175,slc1a5,chr15,11936589,11936835,chr15,11766493,11766739,chr15,11766454,11766578,5.97,4.18,PSAE
GFP_NFR_fo_1176,slc1a5,chr15,12177811,12178015,chr15,11766518,11766722,chr15,11766454,11766578,5.97,4.18,PSAE
GFP_NFR_fo_1176,slc1a5,chr15,12177811,12178015,chr15,11766518,11766722,chr15,11766472,11766596,5.15,2.1,PSAE
GFP_NFR_fo_1176,slc1a5,chr15,12177811,12178015,chr15,11766518,11766722,chr15,11766454,11766578,5.97,4.18,PSAE
GFP_NFR_fo_1176,slc1a5,chr15,12177811,12178015,chr15,11766518,11766722,chr15,11766472,11766596,5.15,2.1,PSAE
GFP_NFR_fo_1177,tmprss4a,chr15,13025594,13025723,chr15,12505093,12505222,chr15,12505081,12505205,7.18,6.31,PSAE
GFP_NFR_fo_1178,tmprss4a,chr15,13029147,13029589,chr15,12501227,12501669,chr15,12501435,12501559,7.94,5.65,PSAE
GFP_NFR_fo_1179,tmprss4a,chr15,13045615,13045794,chr15,12485022,12485201,chr15,12485057,12485181,6.36,4.5,PSAE
GFP_NFR_fo_118,smad1,chr1,35627152,35627346,chr1,35187010,35187204,chr1,35187028,35187152,7.11,5.08,PSAE
GFP_NFR_fo_1180,si:ch211-11n16.2,chr15,13786466,13786764,chr15,14474946,14475244,chr15,14475050,14475174,6.69,3.94,PSAE
GFP_NFR_fo_1181,zgc:114130,chr15,13987225,13987381,chr15,14274329,14274485,chr15,14274337,14274461,6.33,3.76,PSAE
GFP_NFR_fo_1182,zgc:114130,chr15,14005442,14005555,chr15,14256155,14256268,chr15,14256150,14256274,5.46,4.12,PSAE
